"filename", "language", "TypeScript", "CSS", "XML", "comment", "blank", "total"
"c:\programming\game systems\battle system\src\BattleEvents\Events\magicPose.ts", "TypeScript", 26, 0, 0, 2, 5, 33
"c:\programming\game systems\battle system\src\BattleEvents\Events\meleeAttack.ts", "TypeScript", 84, 0, 0, 3, 15, 102
"c:\programming\game systems\battle system\src\BattleEvents\Events\meleeSelection.ts", "TypeScript", 40, 0, 0, 1, 8, 49
"c:\programming\game systems\battle system\src\BattleEvents\Events\messageText.ts", "TypeScript", 37, 0, 0, 2, 7, 46
"c:\programming\game systems\battle system\src\BattleEvents\Events\moveCamera.ts", "TypeScript", 19, 0, 0, 0, 4, 23
"c:\programming\game systems\battle system\src\BattleEvents\Events\pipelineTextMessageEvent.ts", "TypeScript", 27, 0, 0, 1, 5, 33
"c:\programming\game systems\battle system\src\BattleEvents\Events\showInventory.ts", "TypeScript", 35, 0, 0, 2, 7, 44
"c:\programming\game systems\battle system\src\BattleEvents\Events\timeEffectEvent.ts", "TypeScript", 42, 0, 0, 0, 6, 48
"c:\programming\game systems\battle system\src\BattleManager.ts", "TypeScript", 383, 0, 0, 19, 64, 466
"c:\programming\game systems\battle system\src\Entities\attackMeter.ts", "TypeScript", 114, 0, 0, 5, 22, 141
"c:\programming\game systems\battle system\src\Entities\bandit.ts", "TypeScript", 260, 0, 0, 41, 40, 341
"c:\programming\game systems\battle system\src\Entities\knife.ts", "TypeScript", 35, 0, 0, 0, 4, 39
"c:\programming\game systems\battle system\src\Entities\magicBullet.ts", "TypeScript", 35, 0, 0, 0, 4, 39
"c:\programming\game systems\battle system\src\Entities\player.ts", "TypeScript", 482, 0, 0, 14, 61, 557
"c:\programming\game systems\battle system\src\Entities\selector.ts", "TypeScript", 185, 0, 0, 4, 31, 220
"c:\programming\game systems\battle system\src\Melee\Forms\form.ts", "TypeScript", 13, 0, 0, 0, 2, 15
"c:\programming\game systems\battle system\src\Melee\Forms\forms.ts", "TypeScript", 25, 0, 0, 0, 3, 28
"c:\programming\game systems\battle system\src\Melee\Sequences\sequence.ts", "TypeScript", 37, 0, 0, 0, 6, 43
"c:\programming\game systems\battle system\src\Melee\Sequences\sequence1.ts", "TypeScript", 0, 0, 0, 0, 1, 1
"c:\programming\game systems\battle system\src\Menu\options.ts", "TypeScript", 405, 0, 0, 17, 42, 464
"c:\programming\game systems\battle system\src\StatusEffects\effects.ts", "TypeScript", 13, 0, 0, 1, 3, 17
"c:\programming\game systems\battle system\src\StatusEffects\statusEffect.ts", "TypeScript", 12, 0, 0, 0, 3, 15
"c:\programming\game systems\battle system\src\UI.ts", "TypeScript", 451, 0, 0, 13, 53, 517
"c:\programming\game systems\battle system\src\UIComponents\MeleeMenu.ts", "TypeScript", 43, 0, 0, 1, 6, 50
"c:\programming\game systems\battle system\src\UIComponents\inventory.ts", "TypeScript", 302, 0, 0, 9, 30, 341
"c:\programming\game systems\battle system\src\assets\banditanimations.ts", "TypeScript", 114, 0, 0, 0, 9, 123
"c:\programming\game systems\battle system\src\assets\bulleteffect.ts", "TypeScript", 31, 0, 0, 0, 2, 33
"c:\programming\game systems\battle system\src\assets\cursor.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\programming\game systems\battle system\src\assets\flashingtileanimations.ts", "TypeScript", 38, 0, 0, 0, 2, 40
"c:\programming\game systems\battle system\src\assets\magicbullet.ts", "TypeScript", 31, 0, 0, 0, 2, 33
"c:\programming\game systems\battle system\src\assets\matterMagicanimation.ts", "TypeScript", 75, 0, 0, 0, 2, 77
"c:\programming\game systems\battle system\src\assets\playeranimations.ts", "TypeScript", 386, 0, 0, 0, 25, 411
"c:\programming\game systems\battle system\src\assets\potionEffectAnimation.ts", "TypeScript", 95, 0, 0, 0, 2, 97
"c:\programming\game systems\battle system\src\assets\resource.ts", "TypeScript", 160, 0, 0, 28, 16, 204
"c:\programming\game systems\battle system\src\assets\timeAnimations.ts", "TypeScript", 95, 0, 0, 0, 2, 97
"c:\programming\game systems\battle system\src\assets\timeeffect.ts", "TypeScript", 35, 0, 0, 0, 2, 37
"c:\programming\game systems\battle system\src\lib\Actions\flash.ts", "TypeScript", 71, 0, 0, 0, 13, 84
"c:\programming\game systems\battle system\src\lib\ExFSM.ts", "TypeScript", 109, 0, 0, 3, 24, 136
"c:\programming\game systems\battle system\src\lib\Keyboard\Keyboard.ts", "TypeScript", 24, 0, 0, 0, 8, 32
"c:\programming\game systems\battle system\src\lib\Keyboard\keybindings\meleeBindings.ts", "TypeScript", 23, 0, 0, 0, 5, 28
"c:\programming\game systems\battle system\src\lib\Keyboard\keybindings\meleeTarget.ts", "TypeScript", 23, 0, 0, 0, 5, 28
"c:\programming\game systems\battle system\src\lib\Keyboard\keybindings\menuBinding.ts", "TypeScript", 24, 0, 0, 0, 4, 28
"c:\programming\game systems\battle system\src\lib\Keyboard\keybindings\noBindings.ts", "TypeScript", 11, 0, 0, 0, 2, 13
"c:\programming\game systems\battle system\src\lib\Keyboard\keybindings\playerBinding.ts", "TypeScript", 20, 0, 0, 0, 4, 24
"c:\programming\game systems\battle system\src\lib\Keyboard\keybindings\selectorBinding.ts", "TypeScript", 41, 0, 0, 0, 8, 49
"c:\programming\game systems\battle system\src\lib\Keyboard\keybindings\targetSelect.ts", "TypeScript", 68, 0, 0, 2, 6, 76
"c:\programming\game systems\battle system\src\lib\incantation.ts", "TypeScript", 544, 0, 0, 48, 66, 658
"c:\programming\game systems\battle system\src\lib\sounds.ts", "TypeScript", 147, 0, 0, 0, 6, 153
"c:\programming\game systems\battle system\src\main.ts", "TypeScript", 66, 0, 0, 2, 12, 80
"c:\programming\game systems\battle system\src\style.css", "CSS", 0, 53, 0, 4, 2, 59
"Total", "-", 6153, 53, 1, 244, 781, 7232
